,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind Speed,City
55,75,JP,75,24.34,124.16,89.6,14.99,fortuna
56,100,RU,70,53.08,85.67,60.91,10.87,bredasdorp
57,20,ID,70,1.49,124.85,84.2,4.7,kapaa
58,90,JP,94,35.13,140.3,72.0,5.82,hobart
59,43,TC,83,21.46,-71.14,82.58,15.5,taolanaro
60,20,US,83,42.1,-79.24,70.0,9.17,ishigaki
61,100,GL,93,65.61,-37.64,41.0,2.55,tselinnoye
62,20,MU,88,-20.34,57.76,72.0,6.93,manado
63,0,AU,37,-25.24,130.99,55.4,11.41,katsuura
64,80,RU,81,65.98,60.31,44.33,9.13,cockburn town
65,75,CA,63,50.7,-127.42,60.8,12.75,jamestown
66,99,ZA,87,-31.47,19.78,45.82,19.42,tasiilaq
67,46,ZA,70,-34.42,19.23,59.0,8.01,bambous virieux
68,40,GF,100,4.93,-52.33,77.0,4.76,yulara
69,75,CA,50,68.22,-135.01,55.4,10.29,verkhnyaya inta
70,75,CA,100,47.67,-52.73,54.0,9.17,port hardy
71,100,SA,17,17.49,44.13,86.0,2.91,calvinia
72,40,SJ,86,78.22,15.64,41.0,4.7,lolua
73,0,AO,41,-14.92,13.49,52.16,3.6,hermanus
74,3,RU,85,57.31,88.17,69.04,7.0,cayenne
75,94,VE,68,8.12,-63.55,82.0,10.38,aklavik
76,90,CA,93,69.45,-133.04,39.2,12.75,torbay
77,100,CL,87,-33.04,-71.63,51.8,0.96,najran
78,1,US,62,60.55,-151.26,60.8,11.41,longyearbyen
79,75,CA,93,45.62,-61.35,62.6,3.36,lubango
80,0,LY,49,32.88,13.19,78.93,10.54,teguldet
81,69,CN,75,22.81,115.83,84.63,7.65,ciudad bolivar
82,0,RU,46,61.28,108.01,76.46,5.61,tuktoyaktuk
83,100,CH,82,47.48,7.55,68.0,4.7,valparaiso
84,54,US,88,34.2,-90.57,82.4,9.53,kenai
85,100,US,90,42.6,-73.97,66.0,1.54,port hawkesbury
86,75,IN,89,19.8,85.85,84.2,3.36,tripoli
87,98,RU,85,71.69,128.87,45.45,10.38,jieshi
88,100,NZ,93,-46.13,167.68,48.56,5.06,yerbogachen
89,100,RU,71,60.05,69.9,53.06,2.84,ettingen
90,97,RU,58,50.68,156.12,54.97,9.4,clarksdale
91,1,DE,82,48.04,11.52,61.0,5.82,albany
92,20,KR,51,35.24,129.21,84.2,5.82,puri
93,9,BR,87,-21.64,-41.05,69.3,14.12,tiksi
94,20,MY,94,5.41,100.34,84.2,3.96,tuatapere
95,90,GB,81,56.07,-3.72,53.6,13.87,gornopravdinsk
96,0,CN,24,42.8,93.45,82.98,2.66,severo-kurilsk
97,90,LK,100,6.12,81.12,77.0,4.7,grunwald
98,97,AR,57,-31.54,-68.54,45.64,3.15,kijang
99,49,RU,42,62.72,147.95,73.63,6.42,sao joao da barra
100,45,RU,60,69.49,88.4,73.4,17.9,georgetown
101,100,IN,76,23.33,77.8,81.57,10.47,kincardine
102,100,ID,74,-0.88,131.25,82.33,5.3,hami
103,100,ZA,53,-33.02,27.91,63.7,20.62,samusu
104,0,ZM,63,-16.5,27.61,55.63,1.63,hambantota
105,90,US,47,71.29,-156.79,57.2,11.41,san juan
106,1,US,83,42.25,-75.83,69.8,2.21,kholodnyy
107,100,CN,75,29.85,115.55,86.2,5.57,talnakh
108,74,GY,92,8.2,-59.78,75.79,3.29,grand river south east
109,0,UY,83,-33.7,-53.46,44.26,4.29,raisen
110,0,CN,33,40.28,97.2,71.82,4.76,sorong
111,0,AU,94,-42.78,147.06,46.0,2.57,east london
112,40,DZ,59,36.37,6.61,66.2,2.24,gwembe
113,0,MG,92,-25.17,45.05,62.69,6.02,barrow
114,20,CN,74,22.82,108.32,86.0,8.95,broome
115,100,ID,60,2.05,99.75,81.46,1.92,wuxue
116,40,RU,67,51.93,113.63,62.6,2.24,umzimvubu
117,99,IS,86,64.89,-23.71,51.13,12.24,mabaruma
118,90,VU,94,-16.07,167.38,77.0,8.05,chuy
119,0,LY,50,29.13,15.95,73.17,6.42,yumen
120,0,AU,71,-37.83,140.77,51.8,8.05,new norfolk
121,75,RU,60,64.75,177.48,42.8,22.37,constantine
122,0,RU,87,52.48,48.21,64.81,11.48,beloha
123,100,GL,87,61.99,-49.67,40.69,2.51,nanning
124,20,CW,78,12.28,-69.07,80.6,17.22,bandar
125,90,US,88,39.01,-77.43,78.01,5.82,atamanovka
126,23,RU,65,65.37,64.67,49.77,5.41,olafsvik
127,0,CN,54,37.15,122.38,78.96,7.27,norsup
128,0,NC,65,-22.67,167.48,69.84,13.73,hun
129,40,US,58,20.89,-156.47,86.0,19.46,mount gambier
130,0,SA,12,29.97,40.21,84.2,8.05,anadyr
131,88,GB,93,60.4,-1.35,57.2,16.11,dukhovnitskoye
132,5,RU,87,73.51,80.55,45.23,12.93,paamiut
133,100,ID,90,0.13,117.5,74.7,6.62,barber
134,2,CV,85,14.9,-24.5,74.12,10.09,sterling
135,100,CL,48,-28.57,-70.76,61.93,3.42,muzhi
136,0,ZA,43,-28.78,32.04,60.71,11.79,illoqqortoormiut
137,0,AU,67,-38.27,141.97,53.94,7.56,samalaeulu
138,90,CA,71,70.47,-68.59,32.0,6.93,yatou
139,7,PG,76,-2.57,150.8,84.09,12.37,kamenskoye
140,1,RU,49,56.91,118.26,70.27,1.74,vao
141,48,RU,73,49.24,135.17,71.29,8.9,kahului
142,40,RU,77,59.7,30.79,66.2,8.95,sakakah
143,76,MU,77,-20.01,57.66,72.0,5.99,brae
144,75,AU,93,-31.93,115.83,62.6,13.87,dikson
145,100,NZ,91,-46.28,169.85,50.0,4.0,bontang
146,27,EC,91,-0.74,-90.35,70.0,3.0,sao filipe
147,95,MM,91,20.78,97.03,68.97,4.7,vallenar
148,40,CA,72,48.93,-125.55,60.8,19.46,richards bay
149,78,GL,66,60.92,-46.05,48.2,9.17,codrington
150,70,BJ,82,11.13,2.94,77.58,4.68,clyde river
151,90,US,77,43.21,-75.46,69.8,8.05,kavieng
152,100,CO,95,1.2,-70.17,72.48,1.3,chara
153,90,CA,93,50.23,-63.6,59.0,14.99,litovko
154,90,MX,65,25.53,-103.25,77.0,3.36,nikolskoye
155,100,NZ,94,-46.6,168.33,49.48,9.82,grand gaube
156,16,UA,83,48.68,24.41,60.49,5.12,perth
157,0,AU,59,-33.87,121.9,62.6,16.11,kaitangata
158,100,SE,88,59.66,12.59,68.0,4.7,puerto ayora
159,100,NO,84,71.04,27.85,43.79,14.14,taunggyi
160,34,CN,49,35.6,103.21,69.76,3.49,ucluelet
161,100,NZ,86,-45.42,167.72,46.56,4.47,narsaq
162,0,GL,72,77.48,-69.36,39.34,1.57,kandi
163,0,MX,76,27.98,-114.06,68.34,14.56,roma
164,90,BR,87,-23.01,-46.84,59.0,4.18,mitu
165,0,GR,51,35.12,25.72,77.0,17.0,havre-saint-pierre
166,0,RU,41,65.82,87.98,80.28,15.73,matamoros
167,40,CA,86,63.75,-68.51,39.2,4.7,bluff
168,100,RU,83,68.05,39.51,41.56,15.14,saleaula
169,20,PF,61,-17.73,-149.15,82.4,14.99,markova
170,1,US,58,36.98,-76.43,82.99,9.17,esperance
171,100,RU,83,56.09,63.63,49.05,10.94,arvika
172,0,GL,86,69.22,-51.1,39.2,1.12,mehamn
173,75,ID,100,-8.65,115.22,80.6,6.93,buqayq
174,100,CL,91,-37.62,-73.65,50.92,19.13,linxia
175,99,CN,76,25.7,100.18,68.52,5.46,te anau
176,90,CA,93,55.74,-97.86,60.8,8.05,qaanaaq
177,97,ID,89,-3.94,122.5,77.16,4.18,guerrero negro
178,0,IQ,34,33.34,44.4,78.8,3.36,itatiba
179,56,RU,68,65.58,-171.0,42.15,16.02,pirgos
180,89,PG,82,-9.08,143.21,79.41,15.64,turukhansk
181,60,PF,77,-9.8,-139.03,79.88,10.89,iqaluit
182,20,RU,46,63.01,112.47,76.24,4.85,ostrovnoy
183,15,BR,52,-6.77,-43.02,76.28,0.38,tautira
184,89,CO,96,6.69,-73.02,59.49,2.86,newport news
185,1,US,78,40.79,-73.42,75.2,4.7,otradinskiy
186,3,PE,82,-13.7,-76.22,62.6,10.29,shadrinsk
187,71,GL,84,68.71,-52.87,38.08,5.01,ilulissat
188,40,PG,70,-9.44,147.18,86.0,10.29,denpasar
189,98,BR,96,-24.79,-50.01,51.42,5.1,lebu
190,75,US,72,57.05,-135.33,60.8,11.41,dali
191,1,US,62,37.2,-94.35,84.2,14.99,thompson
192,21,GA,91,0.19,10.1,69.66,0.81,kendari
193,0,TM,18,39.51,54.37,75.25,16.67,mys shmidta
194,75,CA,45,65.28,-126.83,64.4,14.99,baghdad
195,100,CN,67,29.29,117.21,88.88,9.84,lavrentiya
196,100,PT,97,39.05,-27.98,66.29,12.86,daru
197,27,RU,44,66.42,112.4,75.2,4.47,atuona
198,40,PT,77,32.67,-17.1,69.8,13.87,chernyshevskiy
199,100,CL,87,-29.95,-71.34,53.6,2.24,floriano
200,1,US,21,37.47,-105.87,69.8,6.93,aratoca
201,0,NA,47,-17.93,19.77,50.0,1.12,melville
202,100,CL,100,-41.87,-73.82,45.0,4.7,pisco
203,20,MU,88,-20.52,57.52,69.8,6.93,aasiaat
204,75,SB,66,-9.43,159.95,87.8,9.17,port moresby
205,0,IR,71,37.47,57.33,55.4,1.48,sentyabrskiy
206,75,AZ,77,38.77,48.41,66.2,2.24,castro
207,63,ZA,76,-33.01,17.94,57.2,5.82,sitka
208,0,PL,97,52.86,21.1,64.99,6.33,sinkat
209,100,RU,93,56.29,62.58,47.95,7.02,nizhneyansk
210,100,NO,91,59.67,9.65,63.0,2.3,belushya guba
211,75,JP,94,35.73,140.83,72.0,6.93,jasper
212,95,VE,93,9.86,-66.38,71.29,4.72,kango
213,17,RU,46,50.72,136.63,72.23,6.76,balkanabat
214,0,US,23,35.21,-118.83,104.0,11.01,norman wells
215,90,CA,88,55.1,-105.28,62.6,3.36,jingdezhen
216,2,SD,44,14.2,24.67,72.93,5.14,lagoa
217,29,CA,76,54.12,-112.47,62.01,3.0,udachnyy
218,35,KI,76,3.07,172.79,82.71,13.82,ponta do sol
219,42,MV,70,-0.6,73.08,84.67,7.63,coquimbo
220,0,AU,51,-36.32,145.05,55.0,2.86,tawkar
221,10,RU,83,66.97,30.35,46.99,3.4,alamosa
222,81,RU,46,71.92,114.08,62.82,7.45,santa eulalia del rio
223,20,GR,65,36.09,28.02,77.0,9.17,rundu
224,100,CL,84,-35.33,-72.42,54.09,5.41,ancud
225,95,PT,94,38.52,-28.7,66.94,7.11,souillac
226,40,VU,65,-19.55,169.27,78.8,9.17,honiara
227,0,GA,89,-1.57,9.26,70.2,4.07,bojnurd
228,52,LV,95,56.35,25.56,59.74,2.91,lerik
229,20,GQ,100,3.46,8.55,78.8,5.82,saldanha
230,100,RU,70,65.53,72.52,52.18,8.3,makow mazowiecki
231,99,PH,74,11.0,122.67,83.52,5.99,kataysk
232,5,ID,74,4.14,96.13,81.77,4.5,kongsberg
233,0,NZ,17,-35.1,173.78,64.0,5.99,hasaki
234,4,BR,59,-9.88,-56.09,72.07,1.81,altagracia de orituco
235,0,BR,100,-29.68,-53.81,44.6,5.03,solnechnyy
236,0,IQ,18,33.75,45.55,81.48,3.09,arvin
237,34,ID,75,4.47,97.97,83.48,1.92,la ronge
238,96,ID,69,5.56,95.32,82.83,5.93,kutum
239,40,MU,83,-20.41,57.7,71.6,11.41,smoky lake
240,40,US,63,55.34,-131.65,64.4,11.41,butaritari
241,0,GA,91,-2.65,10.0,69.37,4.36,hithadhoo
242,3,RU,34,67.8,130.41,79.34,5.82,kyabram
243,100,RU,38,67.54,133.38,80.37,5.06,alakurtti
244,0,LY,85,32.53,20.58,70.92,5.68,saskylakh
245,100,CN,76,39.82,109.98,64.06,15.77,lardos
246,40,AU,100,-24.87,113.63,68.0,10.29,amderma
247,100,ID,63,-3.37,135.48,86.11,2.53,constitucion
248,0,TR,87,38.69,35.55,53.6,3.36,ribeira grande
249,1,US,11,37.68,-113.06,84.2,13.87,isangel
250,0,MR,10,20.5,-10.07,95.13,16.42,omboue
251,85,BR,85,-22.97,-42.03,69.96,18.21,viesite
252,95,RU,98,69.7,170.31,32.45,19.69,luba
253,63,PT,95,42.03,-8.16,59.0,0.81,nadym
254,90,AU,83,-20.02,148.23,73.99,12.75,dingle
255,40,RU,77,59.89,30.26,66.2,4.47,meulaboh
256,34,ID,59,-0.95,100.35,83.57,0.36,kaeo
257,100,PH,77,4.65,119.47,81.55,11.39,alta floresta
258,90,CL,100,-37.08,-73.17,51.8,5.82,santa maria
259,75,AR,100,-38.0,-57.56,43.0,2.24,mandali
260,53,CN,27,38.42,77.24,74.52,16.35,langsa
261,100,RU,66,53.71,87.8,65.43,6.42,banda aceh
262,0,SA,22,24.69,46.72,80.6,4.7,mahebourg
263,1,US,56,37.78,-121.98,72.0,14.99,ketchikan
264,0,MZ,37,-24.53,32.98,60.94,6.24,gamba
265,0,BR,91,-17.31,-53.22,64.36,4.83,chom bung
266,1,US,94,38.89,-76.51,75.99,5.28,batagay-alyta
267,94,GW,83,11.28,-15.83,81.36,11.16,verkhoyansk
268,100,RU,65,60.47,166.1,56.48,13.8,tukrah
269,100,FO,93,62.23,-6.59,57.2,19.46,dongsheng
270,31,BR,53,-7.36,-46.62,74.5,2.62,carnarvon
271,1,US,68,45.06,-83.43,71.6,11.41,nabire
272,0,AR,77,-45.87,-67.5,32.0,8.05,talas
273,0,RU,81,61.03,42.49,46.47,7.61,cedar city
274,80,SD,50,16.15,36.2,83.75,16.58,adrar
275,83,FI,77,63.92,24.97,50.0,1.99,arraial do cabo
276,37,BR,69,-9.17,-60.63,74.23,0.96,pevek
277,88,SA,22,18.22,42.51,71.6,5.75,vila
278,75,CA,72,66.15,-65.71,45.84,2.44,bowen
279,50,IR,46,27.2,60.68,93.2,2.15,saint petersburg
280,55,TL,65,-8.93,125.41,70.12,5.03,padang
281,12,BR,84,-2.89,-40.12,76.37,11.16,ligayan
282,88,LK,80,5.97,80.42,81.93,10.0,lota
283,14,RU,60,69.41,86.18,73.4,17.9,mar del plata
284,23,RU,25,62.72,129.67,84.2,4.47,shache
285,2,RU,60,53.2,45.19,68.0,5.75,myski
286,92,GF,83,5.38,-52.95,78.35,5.01,riyadh
287,0,ZW,43,-20.15,28.58,52.21,1.45,san ramon
288,100,PE,95,-7.33,-75.02,73.78,1.74,chokwe
289,75,MX,60,22.3,-101.57,68.0,6.93,alto araguaia
290,12,PK,67,24.48,68.99,87.69,18.61,mayo
291,28,BR,67,-30.18,-50.21,52.99,6.22,bubaque
292,100,IS,89,63.44,-20.27,52.52,1.14,tilichiki
293,86,GL,88,60.14,-45.24,42.46,0.94,klaksvik
294,100,CA,24,60.75,-137.51,69.53,4.79,riachao
295,0,NA,75,-22.96,14.51,50.0,4.7,alpena
296,81,AZ,72,40.47,50.33,66.2,4.7,comodoro rivadavia
297,85,NO,81,61.99,5.14,66.0,12.03,kuloy
298,23,RU,61,66.83,70.83,50.58,6.08,wagar
299,45,RU,93,61.4,47.5,45.91,7.78,nivala
300,2,TZ,95,-10.0,38.98,63.86,0.89,aripuana
301,64,ID,66,-2.58,115.38,83.8,1.03,abha
302,100,NO,85,70.86,29.09,44.02,14.83,pangnirtung
303,99,RU,54,69.3,139.9,61.61,3.78,iranshahr
304,40,US,83,39.18,-84.53,75.99,8.05,airai
305,100,CA,94,48.96,-65.5,55.98,3.89,acarau
306,0,MN,25,48.01,91.64,73.78,2.42,weligama
307,40,BR,100,-7.47,-34.81,73.4,3.36,dudinka
308,67,OM,71,22.57,59.53,84.43,12.68,namtsy
309,100,KZ,40,45.25,77.98,65.28,14.27,zarechnyy
310,65,FI,77,64.08,24.55,55.0,1.99,sinnamary
311,90,US,82,46.86,-68.01,64.4,3.36,bulawayo
312,75,FR,87,48.38,-4.62,57.2,9.17,contamana
313,0,NA,90,-22.12,14.28,50.0,5.55,pinos
314,39,JP,81,32.97,131.38,77.0,1.99,kadhan
315,1,US,9,37.1,-113.58,100.0,9.17,cidreira
316,13,BR,84,-2.15,-56.09,76.91,2.93,vestmannaeyjar
317,2,MG,88,-22.28,44.52,61.99,3.62,nanortalik
318,1,US,46,34.64,-99.33,89.6,18.34,haines junction
319,54,MV,69,0.53,72.93,84.45,7.02,walvis bay
320,75,AU,61,-16.92,145.77,78.8,10.29,artyom
321,100,ID,73,0.8,127.4,82.13,4.5,raudeberg
322,78,MV,77,5.1,73.07,82.92,12.19,yar-sale
323,98,IS,85,64.25,-15.21,53.98,18.03,kharitonovo
324,100,MN,54,49.49,105.92,74.55,6.6,mbekenyera
325,78,RU,94,55.92,59.98,54.61,13.91,barabai
326,20,RE,77,-21.34,55.48,68.0,4.7,berlevag
327,0,MR,10,20.52,-13.05,95.25,10.49,skagastrond
328,100,CO,88,4.95,-77.37,76.78,5.35,deputatskiy
329,75,CA,68,45.08,-64.5,71.6,2.24,hamilton
330,86,RU,67,61.95,159.23,54.95,7.11,murdochville
331,0,RU,77,48.04,40.05,59.0,3.91,hovd
332,87,SS,95,7.7,28.0,70.16,2.55,pitimbu
333,75,RU,100,54.67,20.13,59.0,2.24,bolungarvik
334,82,SO,88,2.04,45.34,77.32,14.32,sur
335,92,RU,87,43.06,44.74,57.2,2.24,ushtobe
336,1,US,42,44.9,-89.77,80.6,5.82,ylivieska
337,23,BR,85,-2.92,-39.92,76.1,10.27,caribou
338,39,BR,97,-2.79,-49.67,73.42,1.99,plouzane
339,0,CN,45,38.47,106.27,77.77,5.91,henties bay
340,75,US,66,32.62,-83.6,84.2,5.48,taketa
341,0,TR,90,41.25,31.83,57.16,2.48,saint george
342,100,RU,98,69.38,178.42,32.23,8.84,juruti
343,8,BR,100,-18.78,-46.41,55.99,0.89,ankazoabo
344,90,US,93,64.5,-165.41,44.6,21.92,altus
345,100,CL,84,-35.85,-71.6,51.3,3.44,thinadhoo
346,100,PH,74,16.13,119.78,85.26,11.81,cairns
347,0,AR,76,-26.18,-58.18,50.0,3.36,ternate
348,100,BR,96,-8.84,-69.26,72.77,1.66,eydhafushi
349,75,AU,73,-28.77,114.6,69.8,14.99,hofn
350,47,SS,95,5.6,27.47,65.52,2.51,darhan
351,54,CN,23,41.76,86.15,82.45,15.28,nizhniy ufaley
352,8,ZM,72,-14.07,32.44,58.41,1.97,saint-pierre
353,36,NO,53,62.58,6.13,71.6,3.36,atar
354,65,DO,76,18.46,-69.3,84.0,4.0,pizarro
355,100,GN,97,8.54,-9.47,70.34,2.42,kentville
356,0,AO,81,-15.2,12.15,64.85,2.86,evensk
357,100,NO,73,67.67,12.69,55.31,19.57,almaznyy
358,0,US,33,46.74,-119.9,75.2,20.8,dzhusaly
359,100,IN,71,23.57,70.63,86.92,14.09,wau
360,100,CA,82,47.57,-59.14,57.47,11.34,svetlyy
361,92,GY,82,3.38,-59.8,76.66,5.32,mogadishu
362,32,US,92,35.37,-120.85,68.0,3.0,oktyabrskoye
363,90,ES,60,28.66,-17.92,73.4,13.87,marathon
364,17,IT,83,41.63,14.58,63.0,2.3,itarema
365,81,PG,76,-6.12,141.29,82.45,5.73,baiao
366,40,US,55,45.52,-122.68,66.2,14.99,yinchuan
367,90,CL,100,-36.72,-73.12,51.8,5.82,warner robins
368,0,BR,94,-3.2,-52.21,72.82,2.77,zonguldak
369,100,CI,80,4.42,-7.35,75.79,7.9,leningradskiy
370,1,US,12,39.6,-110.81,86.0,10.29,lagoa formosa
371,1,US,65,39.41,-74.36,80.6,8.05,nome
372,80,IN,72,26.2,83.97,84.88,2.19,linares
373,0,EG,83,31.26,32.28,75.2,6.93,aloleng
374,0,ZA,52,-23.9,29.47,44.6,3.36,formosa
375,100,PH,65,17.42,121.44,86.22,6.44,tsienyane
376,0,PL,95,50.54,22.72,62.01,5.88,manoel urbano
377,91,ZM,47,-14.78,24.8,62.71,6.04,geraldton
378,20,VC,78,13.28,-61.25,82.4,24.16,tambura
379,21,SA,44,25.02,37.27,84.78,10.8,korla
380,3,BR,64,-5.5,-41.32,76.15,6.17,chadiza
381,90,CA,85,55.07,-117.29,58.06,6.8,roald
382,99,IN,73,22.95,81.08,80.38,8.23,san pedro de macoris
383,0,LY,56,32.62,14.0,73.74,14.79,macenta
384,75,AU,93,-28.87,153.57,61.0,8.05,namibe
385,0,NA,66,-26.65,15.16,55.4,13.87,sorland
386,20,PF,61,-17.53,-149.33,82.4,14.99,mattawa
387,90,IN,94,24.78,85.0,80.6,6.93,rapar
388,1,US,47,38.42,-121.42,81.0,11.41,channel-port aux basques
389,75,CL,74,-45.58,-72.07,28.4,3.36,lethem
390,0,ML,9,22.68,-3.98,97.45,11.77,morro bay
391,81,AR,94,-36.31,-57.68,40.66,2.64,los llanos de aridane
392,26,AU,74,-17.53,146.03,73.15,8.39,campobasso
393,100,IN,80,16.73,75.07,76.98,8.52,kiunga
394,40,KZ,62,47.8,67.71,53.6,11.18,portland
395,1,RU,32,60.42,134.53,83.77,3.29,talcahuano
396,0,UY,75,-32.82,-56.52,43.27,2.75,altamira
397,75,FR,77,48.08,1.33,60.8,12.75,tabou
398,100,MM,79,16.28,95.68,81.9,5.64,price
399,40,MX,74,19.22,-104.7,87.8,3.22,brigantine
400,16,BR,97,-15.56,-39.3,66.92,0.36,lar
401,46,NO,93,69.31,16.12,48.2,21.92,port said
402,20,FR,82,47.88,-3.92,57.2,8.05,pietersburg
403,100,IN,69,29.85,80.53,71.67,1.28,tabuk
404,90,US,82,36.62,-121.92,60.8,6.93,bilgoraj
405,0,LY,85,32.77,22.64,72.46,16.46,kaoma
406,5,IT,93,46.62,10.7,55.4,3.36,chateaubelair
407,23,KE,79,1.75,40.06,73.29,9.95,umm lajj
408,100,NO,84,70.37,31.11,44.51,15.08,sao miguel do tapuio
409,20,CV,73,15.13,-23.22,77.0,5.82,valleyview
410,0,MA,47,29.58,-9.5,66.78,2.06,dindori
411,75,IN,88,8.88,76.6,80.6,1.12,tumannyy
412,75,CA,55,54.78,-127.17,62.6,12.75,masallatah
413,78,RU,81,67.56,33.4,45.39,6.91,ballina
414,24,RU,27,55.93,158.7,70.27,8.41,luderitz
415,20,IR,34,30.28,57.08,68.0,4.7,tiarei
416,100,PH,70,12.45,125.29,84.38,2.84,gaya
417,75,US,52,21.35,-158.09,87.8,10.29,laguna
418,79,PE,86,-11.1,-77.61,61.65,8.32,coihaique
419,1,ZM,58,-15.41,28.29,57.45,4.79,taoudenni
420,75,TH,83,7.92,98.33,82.4,3.36,dolores
421,100,CN,76,28.59,112.33,84.78,12.95,innisfail
422,75,RE,77,-20.94,55.29,69.8,13.87,athni
423,6,US,72,34.64,-120.46,68.0,11.41,zhezkazgan
424,47,BO,94,-11.03,-68.77,70.39,3.56,ust-maya
425,100,NZ,95,-45.75,170.57,51.01,15.99,paso de los toros
426,40,NC,57,-22.28,166.46,75.2,18.34,chateaudun
427,100,RU,67,49.58,111.98,68.29,3.83,pyapon
428,7,AR,67,-34.65,-59.43,45.0,1.99,san patricio
429,1,US,43,32.45,-99.73,87.8,14.99,mascote
430,0,NA,46,-18.06,13.84,50.58,4.85,andenes
431,19,CD,98,0.15,29.28,56.16,2.64,concarneau
432,97,IN,72,11.67,92.75,84.38,10.11,dharchula
433,100,RU,85,66.32,-179.17,34.93,2.68,grand centre
434,18,SN,94,12.48,-16.55,75.2,7.76,pacific grove
435,99,BR,92,-4.88,-66.9,73.63,1.21,teneguiban
436,83,RU,92,54.37,77.3,53.98,16.67,darnah
437,92,NO,79,62.2,5.58,66.0,8.01,lasa
438,100,DO,1,19.22,-70.53,82.0,5.95,wajir
439,20,MY,78,3.36,101.6,82.4,4.7,vardo
440,1,US,87,35.14,-120.64,68.0,5.82,vila do maio
441,100,FR,82,50.1,1.83,57.99,11.43,tiznit
442,100,RU,39,52.7,115.17,74.17,4.52,kollam
443,1,DE,100,49.66,10.06,64.99,5.68,smithers
444,42,PT,97,40.16,-8.33,64.99,3.02,apatity
445,75,PW,79,7.04,134.26,84.2,5.82,esso
446,75,IN,100,15.87,73.63,78.8,4.7,kerman
447,1,US,33,47.11,-104.71,86.0,9.17,anito
448,90,US,100,42.16,-72.33,66.99,5.82,makakilo city
449,100,GB,61,51.38,1.39,60.01,5.99,hualmay
